Brand Name,Spec Score,Rating,Price,Tag,Processor Name,Processor Type,Processor Speed,RAM,Internal Storage,Battery Capacity,Battery Feature,SIM Type,Extra Feature,Display Size,Display Resolution,Display Feature,Memory External,OS Version,Camera,Image Preview
samsung galaxy a55 5g,85,4.35,25999,launched,exynos 1480,octa core,2.7 ghz processor GHz,8 gb ram,128 gb inbuilt,5000mAh 25W,Fast Charging,"dual sim, 3g, 4g, 5g, volte","wi-fi, nfc",6.6 inch,"1080 x 2340 px, 120 Hz",with punch hole,"memory card (hybrid), upto 1 tb",android v14,50 mp + 12 mp + 5 mp triple rear & 32 mp front camera,https://cdn1.smartprix.com/rx-ijoqoel8u-w280-h280/samsung-galaxy-a55-5.webp
xiaomi redmi note 14,83,4.35,16999,launched,dimensity 7025 ultra,octa core,2.5 ghz processor GHz,6 gb ram,128 gb inbuilt,5110mAh 45W,Fast Charging,"dual sim, 3g, 4g, 5g, volte","wi-fi, nfc, ir blaster",6.67 inch,"1080 x 2400 px, 120 Hz",with punch hole,"memory card (hybrid), upto 1 tb",android v14,50 mp + 8 mp + 2 mp triple rear & 20 mp front camera,https://cdn1.smartprix.com/rx-iqjgkkgs4-w280-h280/xiaomi-redmi-note-14.webp
oppo reno 12 5g,84,4.15,21700,launched,dimensity 7300,octa core,2.5 ghz processor GHz,8 gb ram,256 gb inbuilt,5000mAh 80W,Fast Charging,"dual sim, 3g, 4g, 5g, volte","wi-fi, ir blaster",6.7 inch,"1080 x 2412 px, 120 Hz",with punch hole,memory card (hybrid),android v14,50 mp + 8 mp + 2 mp triple rear & 32 mp front camera,https://cdn1.smartprix.com/rx-i0shusa68-w280-h280/oppo-reno-12-5g.webp
realme p3x 5g,76,4.05,12653,launched,dimensity 6400,octa core,2.5 ghz processor GHz,6 gb ram,128 gb inbuilt,6000mAh 45W,Fast Charging,"dual sim, 3g, 4g, 5g, volte",wi-fi,6.72 inch,"1080 x 2400 px, 120 Hz",with punch hole,memory card (hybrid),android v15,50 mp + 2 mp dual rear & 8 mp front camera,https://cdn1.smartprix.com/rx-ioiql0lnh-w280-h280/realme-p3x-5g.webp
realme narzo 70 turbo 5g,79,4.45,12999,launched,dimensity 7300 energy,octa core,2.5 ghz processor GHz,6 gb ram,128 gb inbuilt,5000mAh 45W,Fast Charging,"dual sim, 3g, 4g, 5g, volte",wi-fi,6.67 inch,"1080 x 2400 px, 120 Hz",with punch hole,"memory card (hybrid), upto 1 tb",android v14,50 mp + 2 mp dual rear & 16 mp front camera,https://cdn1.smartprix.com/rx-ihnb7lfjy-w280-h280/realme-narzo-70-turb.webp
apple iphone 16,85,4.75,73500,launched,bionic a18,hexa core,4.04 ghz processor GHz,8 gb ram,128 gb inbuilt,3561mAh,Fast Charging,"dual sim, 3g, 4g, 5g, volte","wi-fi, nfc",6.1 inch,1179 x 2556 px,no punch hole,memory card not supported,ios v18,48 mp + 12 mp dual rear & 12 mp front camera,https://cdn1.smartprix.com/rx-i2e85bq8q-w280-h280/apple-iphone-16.webp
oneplus 13r 5g,87,4.0,42997,launched,snapdragon 8 gen3,octa core,3.3 ghz processor GHz,12 gb ram,256 gb inbuilt,6000mAh 80W,Fast Charging,"dual sim, 3g, 4g, 5g, volte","wi-fi, nfc, ir blaster",6.78 inch,"1264 x 2780 px, 120 Hz",with punch hole,memory card not supported,android v15,50 mp + 50 mp + 8 mp triple rear & 16 mp front camera,https://cdn1.smartprix.com/rx-it2u0d8ts-w280-h280/oneplus-13r-5g.webp
oneplus nord ce 4 5g,81,4.2,21997,launched,snapdragon 7 gen3,octa core,2.63 ghz processor GHz,8 gb ram,128 gb inbuilt,5500mAh 100W,Fast Charging,"dual sim, 3g, 4g, 5g, volte","wi-fi, ir blaster",6.7 inch,"1080 x 2412 px, 120 Hz",with punch hole,"memory card (hybrid), upto 1 tb",android v14,50 mp + 8 mp dual rear & 16 mp front camera,https://cdn1.smartprix.com/rx-idjisqxhn-w280-h280/oneplus-nord-ce-4-5g.webp
motorola edge 60 stylus,86,4.7,22922,launched,snapdragon 7s gen2,octa core,2.4 ghz processor GHz,8 gb ram,256 gb inbuilt,5000mAh 68W,Fast Charging,"dual sim, 3g, 4g, 5g, volte","vo5g, wi-fi, nfc",6.7 inch,"1220 x 2712 px, 120 Hz",with punch hole,"memory card supported, upto 1 tb",android v15,50 mp + 13 mp dual rear & 32 mp front camera,https://cdn1.smartprix.com/rx-idceqoevj-w280-h280/motorola-edge-60-sty.webp
vivo t4x 5g (8gb ram + 256gb),78,4.1,16999,launched,dimensity 7300,octa core,2.5 ghz processor GHz,8 gb ram,256 gb inbuilt,6500mAh 44W,Fast Charging,"dual sim, 3g, 4g, 5g, volte","wi-fi, ir blaster",6.72 inch,"1080 x 2408 px, 120 Hz",with punch hole,memory card not supported,android v15,50 mp + 2 mp dual rear & 8 mp front camera,https://cdn1.smartprix.com/rx-ifgajbyoi-w280-h280/vivo-t4x-5g-8gb-ram.webp
samsung galaxy f16 5g (8gb ram + 128gb),80,4.65,13499,launched,dimensity 6300,octa core,2.4 ghz processor GHz,8 gb ram,128 gb inbuilt,5000mAh 25W,Fast Charging,"dual sim, 3g, 4g, 5g, volte","wi-fi, nfc",6.7 inch,"1080 x 2340 px, 90 Hz",with punch hole,"memory card (hybrid), upto 1.5 tb",android v15,50 mp + 5 mp + 2 mp triple rear & 13 mp front camera,https://cdn1.smartprix.com/rx-i9jsflzdu-w280-h280/samsung-galaxy-f16-5.webp
samsung galaxy f55 5g,83,4.6,17969,launched,snapdragon 7 gen1,octa core,2.4 ghz processor GHz,8 gb ram,128 gb inbuilt,5000mAh 45W,Fast Charging,"dual sim, 3g, 4g, 5g, volte","wi-fi, nfc",6.7 inch,"1080 x 2400 px, 120 Hz",with punch hole,"memory card (hybrid), upto 1 tb",android v14,50 mp + 8 mp + 2 mp triple rear & 50 mp front camera,https://cdn1.smartprix.com/rx-id31sv3lq-w280-h280/samsung-galaxy-f55-5.webp
samsung galaxy f12,72,4.65,5000,launched,exynos 850,octa core,2 ghz processor GHz,4 gb ram,64 gb inbuilt,6000mAh 15W,Fast Charging,"dual sim, 3g, 4g, volte",wi-fi,6.5 inch,"720 x 1600 px, 90 Hz",no punch hole,"memory card supported, upto 512 gb",android v11,48 mp quad rear & 8 mp front camera,https://cdn1.smartprix.com/rx-iqhyz2w9l-w280-h280/samsung-galaxy-f12.webp
vivo t4 lite 5g (6 gb ram +128 gb),75,4.05,10999,launched,dimensity 6300,octa core,2.4 ghz processor GHz,6 gb ram,128 gb inbuilt,6000mAh 15W,Fast Charging,"dual sim, 3g, 4g, 5g, volte",wi-fi,6.74 inch,"720 x 1600 px, 90 Hz",no punch hole,"memory card supported, upto 2 tb",android v15,50 mp + 2 mp dual rear & 5 mp front camera,https://cdn1.smartprix.com/rx-ic3zjsusm-w280-h280/vivo-t4-lite-5g-6-gb.webp
xiaomi redmi 13 5g,78,4.5,12499,launched,snapdragon 4 gen 2 ae,octa core,2.3 ghz processor GHz,6 gb ram,128 gb inbuilt,5030mAh 33W,Fast Charging,"dual sim, 3g, 4g, 5g, volte","wi-fi, ir blaster",6.79 inch,"1080 x 2460 px, 120 Hz",with punch hole,"memory card (hybrid), upto 1 tb",android v14,108 mp + macro dual rear & 13 mp front camera,https://cdn1.smartprix.com/rx-i65gjjj9y-w280-h280/xiaomi-redmi-13-5g.webp
xiaomi redmi note 14 pro plus,83,4.4,26490,launched,snapdragon 7s gen3,octa core,2.5 ghz processor GHz,8 gb ram,128 gb inbuilt,6200mAh 90W,Fast Charging,"dual sim, 3g, 4g, 5g, volte","wi-fi, nfc, ir blaster",6.67 inch,"1220 x 2712 px, 120 Hz",with punch hole,memory card not supported,android v14,50 mp + 50 mp + 8 mp triple rear & 20 mp front camera,https://cdn1.smartprix.com/rx-idhav9joa-w280-h280/xiaomi-redmi-note-14.webp
